"meanImp","medianImp","minImp","maxImp","normHits","decision"
4.46313509494667,4.49418981167932,3.05539980189818,5.91532896377055,0.98989898989899,"Confirmed"
5.88379461355262,5.92642720576302,3.67500516021436,7.19001287704942,1,"Confirmed"
-0.150272096393897,-0.311741483028191,-1.34230603531953,1.78832300695459,0,"Rejected"
0.156245500889173,0.311487058369369,-1.24912249166665,1.52586728466695,0,"Rejected"
0.187835530400357,0.35453256311948,-1.51185162836239,1.8752154901536,0,"Rejected"
0.146547824705168,0.222383903371607,-1.23790377689801,1.79539797722054,0,"Rejected"
0.116195605820299,-0.0395577111252172,-1.34964134524677,1.70955139858872,0,"Rejected"
0.858812491201154,0.963165415108921,-0.507858254443251,2.3210629986803,0,"Rejected"
0.532281563601334,0.84026714425798,-1.06798879931318,2.0454070750634,0,"Rejected"
0.366670213344376,0.39345644073066,-1.13191282199184,2.06796601323763,0,"Rejected"
-0.25948404696971,-0.340353074849192,-1.66509575633092,1.98749457007485,0,"Rejected"
0.458184262346157,0.290222434983326,-1.85218306489707,2.50760197845216,0,"Rejected"
-0.234344535679936,-0.457904570210522,-1.39697679500986,1.75449140100063,0,"Rejected"
0.512810346866113,0.643103376773607,-1.46767435596889,2.06388801546193,0,"Rejected"
0.535902156886467,0.518485174896454,-1.2622493961386,1.94581957830616,0,"Rejected"
0.455793932028638,0.53686765453562,-1.46639917726386,2.27387929855239,0,"Rejected"
0.686587094924007,0.84126799412089,-1.26360165035301,2.19327863021575,0,"Rejected"
0.676034556069811,0.864760259789992,-1.38137674493152,2.4428269202074,0.0101010101010101,"Rejected"
-0.137850892112825,-0.411767712440772,-1.888302759498,1.99339320666702,0,"Rejected"
-0.0416281844822524,-0.291121691979935,-1.46937346490771,2.46047265783213,0.0101010101010101,"Rejected"
0.515047289949039,0.510706114310533,-1.12558630801295,2.32165074227788,0,"Rejected"
0.194191354836286,0.110915558330998,-1.78532463741348,2.0019055517731,0,"Rejected"
0.484767851737585,0.641986793829049,-2.0493032437963,2.28494976009708,0,"Rejected"
0.260561973121123,0.306161026866788,-1.17936668057723,1.46040307182231,0,"Rejected"
0.596326480490094,0.867875190162564,-1.61259721022763,2.37641493322538,0,"Rejected"
0.236556786673048,0.500586022119166,-1.42641061676953,1.92324259082934,0,"Rejected"
0.0301304354803202,-0.0287075709017105,-1.68148602477066,1.9486546815835,0,"Rejected"
-0.00766145873403958,-0.0845600794811747,-1.1558890634759,1.48198342214332,0,"Rejected"
0.339705653420929,0.358098680376842,-1.88809373552146,1.8350013037765,0,"Rejected"
0.562760932584667,0.550073281088171,-1.63602901999712,2.81370726082259,0,"Rejected"
0.314852080060089,0.631885208898208,-1.34559462720626,2.32189143691179,0,"Rejected"
0.417077995909248,0.495297051891725,-1.43561582421723,1.94620560607265,0,"Rejected"
0.347265022615602,0.43667068860433,-1.13253254860367,2.28606440425403,0,"Rejected"
1.46520792431459,1.47176770389857,0.317608503472662,2.2827795507788,0,"Rejected"
1.37421560893295,1.28701554815834,-0.448147642718646,3.91909165564024,0.0303030303030303,"Rejected"
1.16145671551334,1.23506702978366,-0.914476349855754,2.94063579573807,0.0202020202020202,"Rejected"
-0.223977634516349,-0.434490707287117,-1.59090202651824,1.4868944335024,0,"Rejected"
2.99753947269924,3.13804688635337,0.654829035708721,4.85522332997954,0.646464646464647,"Tentative"
2.83655709499274,2.87201989315364,0.683205798912338,4.68853025637323,0.555555555555556,"Tentative"
1.27811674340555,1.19812431830961,-0.0108064220805269,2.47948746623495,0,"Rejected"
1.38598130094845,1.47113317012617,0.121580738196967,2.82890239313237,0.0202020202020202,"Rejected"
2.54031822107421,2.75365873003988,-0.117315546530204,4.30008352677921,0.494949494949495,"Tentative"
3.11432234196423,3.13863140570427,1.42511563222182,4.95074378550354,0.717171717171717,"Confirmed"
0.53731978049165,0.363503982991276,-0.764071510649115,2.53196609706328,0.0101010101010101,"Rejected"
1.67361100244953,1.79889675020725,0.329107406313069,2.89921872919429,0.0101010101010101,"Rejected"
-0.0259790800826853,-0.0272091937404896,-1.35964051800291,1.97421310595366,0,"Rejected"
0.685762180153045,0.699400886441229,-1.97382301958993,2.23791095806161,0,"Rejected"
-0.163721560736212,-0.625448446138559,-1.47869973181694,1.82689109572438,0,"Rejected"
1.58018048006654,1.79507970916996,-1.23069046118851,2.440974225854,0,"Rejected"
3.70914353451348,3.65413926253327,2.31226074411125,4.95487662696887,0.919191919191919,"Confirmed"
0.475824315593762,0.691783218424981,-1.58223053558226,2.35622552012906,0,"Rejected"
3.16946181546288,3.23618913295058,0.552642374870641,5.10935451117197,0.747474747474748,"Confirmed"
2.66509318118209,2.7567514846034,0.667817021278765,4.4056898362416,0.484848484848485,"Tentative"
3.45097007718305,3.45680912984716,1.84807664596843,5.37356300866414,0.868686868686869,"Confirmed"
2.93829466975368,2.99317322837887,0.506061213556279,4.53896465833694,0.616161616161616,"Tentative"
1.02405006114658,0.83993359996171,-0.0051998069276171,2.42988189380425,0,"Rejected"
2.66510563550287,2.60628648255953,0.394277199210774,4.45326276040423,0.505050505050505,"Tentative"
1.707013591289,1.9702060196653,-0.648234740856152,2.77780179583928,0.0202020202020202,"Rejected"
3.89462758244416,3.89165171793748,2.42784844199461,5.34816890956452,0.939393939393939,"Confirmed"
-0.348526300259884,-0.641479564486023,-2.3508581872376,2.43157396391329,0.0101010101010101,"Rejected"
4.34132144680385,4.49544161741883,2.4453060820787,5.6522714035618,0.96969696969697,"Confirmed"
3.17261152221805,3.21319649107581,1.16444851799494,4.60392308539344,0.717171717171717,"Confirmed"
